         317529 function calls (317121 primitive calls) in 2.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     13/6    0.000    0.000    0.074    0.012 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:942(source_to_code)
       13    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap_external>:950(get_code)
      138    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      110    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
     2951    0.004    0.000    0.027    0.000 <string>:1(coords)
        1    0.000    0.000    0.001    0.001 <string>:1(create_image)
      320    0.001    0.000    0.014    0.000 <string>:1(create_line)
      156    0.000    0.000    0.010    0.000 <string>:1(create_polygon)
        6    0.000    0.000    0.043    0.007 <string>:1(create_text)
       12    0.000    0.000    0.000    0.000 <string>:1(delete)
     8320    0.009    0.000    0.105    0.000 <string>:1(itemconfigure)
        1    0.000    0.000    0.000    0.000 <string>:1(mainloop)
     3084    0.003    0.000    0.013    0.000 <string>:1(tag_raise)
        1    0.000    0.000    0.031    0.031 __init__.py:1(<module>)
    17167    0.022    0.000    0.031    0.000 __init__.py:101(_cnfmerge)
       17    0.000    0.000    0.000    0.000 __init__.py:1124(winfo_height)
      314    0.001    0.000    0.020    0.000 __init__.py:1191(winfo_rgb)
        2    0.000    0.000    0.000    0.000 __init__.py:1224(winfo_screenheight)
        2    0.000    0.000    0.000    0.000 __init__.py:1248(winfo_screenwidth)
        1    0.000    0.000    0.000    0.000 __init__.py:1259(winfo_toplevel)
       17    0.000    0.000    0.000    0.000 __init__.py:1324(winfo_width)
       28    0.000    0.000    0.362    0.013 __init__.py:1341(update)
        5    0.000    0.000    0.000    0.000 __init__.py:1364(_bind)
        5    0.000    0.000    0.000    0.000 __init__.py:1382(bind)
        4    0.000    0.000    0.000    0.000 __init__.py:1423(unbind)
      320    0.003    0.000    0.004    0.000 __init__.py:1464(_getints)
        1    0.000    0.000    0.001    0.001 __init__.py:147(EventType)
     8839    0.022    0.000    0.039    0.000 __init__.py:1497(_options)
       18    0.000    0.000    0.000    0.000 __init__.py:1523(nametowidget)
       11    0.000    0.000    0.000    0.000 __init__.py:1542(_register)
       18    0.000    0.000    0.000    0.000 __init__.py:1566(_root)
       17    0.001    0.000    0.003    0.000 __init__.py:1576(_substitute)
      187    0.000    0.000    0.001    0.000 __init__.py:1582(getint_event)
     8324    0.018    0.000    0.091    0.000 __init__.py:1655(_configure)
        4    0.000    0.000    0.000    0.000 __init__.py:1668(configure)
       25    0.000    0.000    0.000    0.000 __init__.py:1694(__str__)
        2    0.000    0.000    0.001    0.000 __init__.py:1784(_grid_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:1805(grid_columnconfigure)
        1    0.000    0.000    0.001    0.001 __init__.py:1836(grid_rowconfigure)
        1    0.000    0.000    0.000    0.000 __init__.py:1906(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:191(Event)
       11    0.000    0.000    0.000    0.000 __init__.py:1910(__init__)
       29    0.000    0.000    0.006    0.000 __init__.py:1916(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1928(XView)
       18    0.000    0.000    0.000    0.000 __init__.py:1938(xview_moveto)
        1    0.000    0.000    0.000    0.000 __init__.py:1949(YView)
       18    0.000    0.000    0.000    0.000 __init__.py:1959(yview_moveto)
        1    0.000    0.000    0.000    0.000 __init__.py:1970(Wm)
        2    0.000    0.000    0.000    0.000 __init__.py:2070(wm_geometry)
        2    0.000    0.000    0.000    0.000 __init__.py:2218(wm_protocol)
        2    0.000    0.000    0.000    0.000 __init__.py:2253(wm_title)
        1    0.000    0.000    0.000    0.000 __init__.py:2274(Tk)
        1    0.000    0.000    0.168    0.168 __init__.py:2279(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2311(_loadtk)
        1    0.000    0.000    0.031    0.031 __init__.py:2337(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2347(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:2404(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2409(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:2450(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:2501(Grid)
       25    0.000    0.000    0.001    0.000 __init__.py:2507(grid_configure)
       12    0.000    0.000    0.000    0.000 __init__.py:2530(grid_forget)
        1    0.000    0.000    0.000    0.000 __init__.py:2556(BaseWidget)
        4    0.000    0.000    0.000    0.000 __init__.py:2559(_setup)
        4    0.000    0.000    0.001    0.000 __init__.py:2589(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:2598(<listcomp>)
        4    0.000    0.000    0.004    0.001 __init__.py:2606(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2619(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2627(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:2704(Canvas)
        1    0.000    0.000    0.001    0.001 __init__.py:2707(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:2756(bbox)
     2951    0.006    0.000    0.023    0.000 __init__.py:2790(coords)
     2951    0.002    0.000    0.002    0.000 __init__.py:2793(<listcomp>)
      483    0.003    0.000    0.065    0.000 __init__.py:2797(_create)
        1    0.000    0.000    0.001    0.001 __init__.py:2817(create_image)
      320    0.000    0.000    0.013    0.000 __init__.py:2821(create_line)
      156    0.000    0.000    0.009    0.000 __init__.py:2829(create_polygon)
        6    0.000    0.000    0.043    0.007 __init__.py:2837(create_text)
       12    0.000    0.000    0.000    0.000 __init__.py:2850(delete)
     8320    0.006    0.000    0.096    0.000 __init__.py:2925(itemconfigure)
     3084    0.003    0.000    0.010    0.000 __init__.py:2968(tag_raise)
        1    0.000    0.000    0.000    0.000 __init__.py:3014(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3050(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:3136(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:3139(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3156(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:3180(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:3296(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:3426(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3433(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:3440(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:345(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:3473(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:3512(Scrollbar)
        2    0.000    0.000    0.000    0.000 __init__.py:3515(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:3556(set)
        1    0.000    0.000    0.000    0.000 __init__.py:3562(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:3966(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3980(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:4019(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:4023(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4085(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:4088(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4095(blank)
        1    0.000    0.000    0.000    0.000 __init__.py:4169(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:4189(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:4367(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:4391(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:4606(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:526(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:550(IntVar)
